time,open,high,low,close,tick_volume,spread,real_volume
2006-01-19,1.7631000000000001,1.7641,1.7527,1.7572,10534,30,0
2006-01-20,1.7570999999999999,1.7727,1.7541,1.7709000000000001,10323,30,0
2006-01-23,1.7715,1.7884,1.7713,1.7866,11155,30,0
2006-01-24,1.7864,1.7898,1.7805,1.7833,10453,30,0
2006-01-25,1.7833,1.7936999999999999,1.7816,1.7831000000000001,10657,30,0
2006-01-26,1.7832,1.7892000000000001,1.7774999999999999,1.7797,10072,30,0
2006-01-27,1.7797,1.7881,1.7665,1.768,10687,30,0
2006-01-30,1.7687,1.7718,1.7633999999999999,1.7685,9572,30,0
2006-01-31,1.7684,1.7861,1.7665,1.7788,10193,30,0
2006-02-01,1.7781,1.7822,1.7725,1.775,10276,30,0
2006-02-02,1.7748,1.7816,1.7711000000000001,1.7801,10152,30,0
2006-02-03,1.78,1.7811,1.7591999999999999,1.7623,9937,30,0
2006-02-06,1.7624,1.7643,1.7433999999999998,1.7478,10337,30,0
2006-02-07,1.7478,1.7518,1.7403,1.7467000000000001,9775,30,0
2006-02-08,1.7468,1.7476,1.7376,1.7409,9763,30,0
2006-02-09,1.7406000000000001,1.7467000000000001,1.7374,1.742,10008,30,0
2006-02-10,1.7419,1.7577,1.7410999999999999,1.7457,10384,30,0
2006-02-13,1.7433999999999998,1.7445,1.7363,1.7414,10011,30,0
2006-02-14,1.7412999999999998,1.7446000000000002,1.7278,1.7353,10145,30,0
2006-02-15,1.7353,1.7490999999999999,1.7330999999999999,1.7405,10338,30,0
2006-02-16,1.7406000000000001,1.7416,1.7306,1.7387000000000001,10085,30,0
2006-02-17,1.7388,1.7429000000000001,1.7328999999999999,1.7405,10106,30,0
2006-02-20,1.7415,1.7464,1.7405,1.7443,9071,30,0
2006-02-21,1.7442,1.7478,1.7410999999999999,1.7445,9847,30,0
2006-02-22,1.7444,1.7468,1.7374,1.7433999999999998,9705,30,0
2006-02-23,1.7435,1.7557,1.7414,1.7516,10365,30,0
2006-02-24,1.7518,1.7539,1.7427000000000001,1.7449,9776,30,0
2006-02-27,1.7433999999999998,1.7454,1.7376,1.7396,9856,30,0
2006-02-28,1.7397,1.7570999999999999,1.7372999999999998,1.7537,10149,30,0
2006-03-01,1.7538,1.7596,1.7461,1.75,9959,30,0
2006-03-02,1.75,1.7551,1.7433,1.7529,9833,30,0
2006-03-03,1.7530000000000001,1.7587000000000002,1.75,1.7545,9719,30,0
2006-03-06,1.7563,1.7626,1.7466,1.7486000000000002,10434,30,0
2006-03-07,1.7488000000000001,1.7502,1.733,1.7354,10462,30,0
2006-03-08,1.7355,1.7422,1.7343,1.7382,9988,30,0
2006-03-09,1.7382,1.7414,1.7346,1.736,10697,30,0
2006-03-10,1.7359,1.7403,1.7231,1.726,9878,30,0
2006-03-13,1.7261,1.7341,1.7231,1.7335,9821,30,0
2006-03-14,1.7335,1.7487,1.733,1.7457,10532,30,0
2006-03-15,1.7459,1.7496,1.7416,1.7478,9956,30,0
2006-03-16,1.7478,1.7597,1.7437,1.7568000000000001,10271,30,0
2006-03-17,1.7567,1.7581,1.7511,1.7555,9523,30,0
2006-03-20,1.7553,1.759,1.7528000000000001,1.7553999999999998,9361,30,0
2006-03-21,1.7556,1.7563,1.745,1.7485,10445,30,0
2006-03-22,1.7489,1.751,1.7452,1.7464,9481,30,0
2006-03-23,1.7464,1.7471,1.7327,1.7341,9757,30,0
2006-03-24,1.7342,1.7446000000000002,1.7309,1.742,9527,30,0
2006-03-27,1.7429000000000001,1.7496,1.7414,1.7464,9660,30,0
2006-03-28,1.7464,1.7539,1.7425000000000002,1.7428,10516,30,0
2006-03-29,1.7428,1.7445,1.7315,1.7336,9477,30,0
2006-03-30,1.7338,1.7486000000000002,1.7335,1.7461,10542,30,0
2006-03-31,1.7464,1.748,1.7336,1.7372,10311,30,0
2006-04-03,1.7365,1.7407,1.725,1.7399,9916,30,0
2006-04-04,1.7396,1.7579,1.7368999999999999,1.755,10011,30,0
2006-04-05,1.7551,1.7619,1.748,1.7539,10681,30,0
2006-04-06,1.7541,1.7599,1.7489,1.7515,10691,30,0
2006-04-07,1.7516,1.7537,1.7393999999999998,1.7421,10604,30,0
2006-04-10,1.7428,1.7475,1.7376,1.7438,8736,30,0
2006-04-11,1.7437,1.7496,1.7393,1.7486000000000002,9510,30,0
2006-04-12,1.7487,1.7574999999999998,1.746,1.7505,9561,30,0
2006-04-13,1.7504,1.7564,1.7484,1.7527,10057,30,0
2006-04-14,1.7525,1.7536,1.7503,1.7511999999999999,6934,30,0
2006-04-17,1.7532,1.775,1.7530999999999999,1.7705,9619,30,0
